Date,Fear_Greed_Value,Fear_Greed_Class
2021-07-23,18.714285714285715,Extreme Fear
2021-07-30,37.142857142857146,Neutral
2021-08-06,51.42857142857143,Neutral
2021-08-13,69.85714285714286,Greed
2021-08-20,72.0,Greed
2021-08-27,75.85714285714286,Greed
2021-09-03,73.57142857142857,Greed
2021-09-10,63.0,Fear
2021-09-17,41.0,Neutral
2021-09-24,37.285714285714285,Fear
2021-10-01,25.285714285714285,Fear
2021-10-08,62.0,Greed
2021-10-15,71.85714285714286,Greed
2021-10-22,78.71428571428571,Greed
2021-10-29,72.0,Greed
2021-11-05,73.71428571428571,Greed
2021-11-12,75.57142857142857,Greed
2021-11-19,61.285714285714285,Fear
2021-11-26,42.285714285714285,Neutral
2021-12-03,31.142857142857142,Fear
2021-12-10,23.571428571428573,Extreme Fear
2021-12-17,24.571428571428573,Extreme Fear
2021-12-24,32.142857142857146,Fear
2021-12-31,33.42857142857143,Fear
2022-01-07,22.714285714285715,Extreme Fear
2022-01-14,20.142857142857142,Extreme Fear
2022-01-21,22.428571428571427,Extreme Fear
2022-01-28,16.571428571428573,Extreme Fear
2022-02-04,23.857142857142858,Extreme Fear
2022-02-11,45.285714285714285,Neutral
2022-02-18,44.714285714285715,Fear
2022-02-25,24.571428571428573,Fear
2022-03-04,35.285714285714285,Fear
2022-03-11,22.857142857142858,Extreme Fear
2022-03-18,23.285714285714285,Extreme Fear
2022-03-25,33.285714285714285,Neutral
2022-04-01,53.285714285714285,Neutral
2022-04-08,46.285714285714285,Fear
2022-04-15,27.285714285714285,Extreme Fear
2022-04-22,26.714285714285715,Fear
2022-04-29,23.714285714285715,Extreme Fear
2022-05-06,23.857142857142858,Extreme Fear
2022-05-13,13.714285714285714,Extreme Fear
2022-05-20,11.285714285714286,Extreme Fear
2022-05-27,12.0,Extreme Fear
2022-06-03,13.285714285714286,Extreme Fear
2022-06-10,13.285714285714286,Extreme Fear
2022-06-17,9.714285714285714,Extreme Fear
2022-06-24,9.0,Extreme Fear
2022-07-01,12.142857142857142,Extreme Fear
2022-07-08,16.285714285714285,Extreme Fear
2022-07-15,19.142857142857142,Extreme Fear
2022-07-22,27.571428571428573,Fear
2022-07-29,30.857142857142858,Fear
2022-08-05,34.285714285714285,Fear
2022-08-12,35.285714285714285,Fear
2022-08-19,40.857142857142854,Fear
2022-08-26,27.142857142857142,Fear
2022-09-02,25.0,Extreme Fear
2022-09-09,21.714285714285715,Extreme Fear
2022-09-16,26.857142857142858,Extreme Fear
2022-09-23,22.571428571428573,Extreme Fear
2022-09-30,21.714285714285715,Extreme Fear
2022-10-07,23.142857142857142,Extreme Fear
2022-10-14,22.285714285714285,Extreme Fear
2022-10-21,22.714285714285715,Extreme Fear
2022-10-28,25.714285714285715,Fear
2022-11-04,31.285714285714285,Fear
2022-11-11,31.142857142857142,Extreme Fear
2022-11-18,22.142857142857142,Extreme Fear
2022-11-25,21.714285714285715,Extreme Fear
2022-12-02,26.428571428571427,Fear
2022-12-09,26.285714285714285,Fear
2022-12-16,28.142857142857142,Fear
2022-12-23,27.571428571428573,Fear
2022-12-30,28.142857142857142,Fear
2023-01-06,26.857142857142858,Fear
2023-01-13,26.857142857142858,Fear
2023-01-20,48.857142857142854,Neutral
2023-01-27,52.57142857142857,Greed
2023-02-03,56.42857142857143,Greed
2023-02-10,55.285714285714285,Neutral
2023-02-17,53.285714285714285,Greed
2023-02-24,58.0,Neutral
2023-03-03,51.0,Neutral
2023-03-10,46.0,Fear
2023-03-17,46.285714285714285,Neutral
2023-03-24,63.0,Greed
2023-03-31,61.57142857142857,Greed
2023-04-07,62.57142857142857,Greed
2023-04-14,63.714285714285715,Greed
2023-04-21,61.142857142857146,Neutral
2023-04-28,56.285714285714285,Greed
2023-05-05,61.57142857142857,Greed
2023-05-12,55.42857142857143,Neutral
2023-05-19,49.857142857142854,Neutral
2023-05-26,49.857142857142854,Neutral
2023-06-02,50.57142857142857,Neutral
2023-06-09,50.714285714285715,Neutral
2023-06-16,46.0,Neutral
2023-06-23,54.42857142857143,Greed
2023-06-30,58.857142857142854,Greed
2023-07-07,60.0,Greed
2023-07-14,58.142857142857146,Greed
2023-07-21,54.142857142857146,Neutral
2023-07-28,52.142857142857146,Neutral
2023-08-04,52.285714285714285,Neutral
2023-08-11,50.857142857142854,Neutral
2023-08-18,50.0,Fear
2023-08-25,38.285714285714285,Fear
2023-09-01,42.142857142857146,Fear
2023-09-08,41.142857142857146,Fear
2023-09-15,40.285714285714285,Fear
2023-09-22,45.42857142857143,Fear
2023-09-29,46.0,Neutral
2023-10-06,48.857142857142854,Neutral
2023-10-13,47.857142857142854,Fear
2023-10-20,49.42857142857143,Neutral
2023-10-27,64.0,Greed
2023-11-03,67.71428571428571,Greed
2023-11-10,69.28571428571429,Greed
2023-11-17,68.14285714285714,Greed
2023-11-24,67.0,Greed
2023-12-01,71.0,Greed
2023-12-08,73.14285714285714,Greed
2023-12-15,70.71428571428571,Greed
2023-12-22,70.85714285714286,Greed
2023-12-29,70.85714285714286,Greed
2024-01-05,68.71428571428571,Greed
2024-01-12,72.57142857142857,Greed
2024-01-19,59.142857142857146,Neutral
2024-01-26,51.714285714285715,Neutral
2024-02-02,58.714285714285715,Greed
2024-02-09,63.42857142857143,Greed
2024-02-16,73.14285714285714,Greed
2024-02-23,74.71428571428571,Extreme Greed
2024-03-01,77.0,Extreme Greed
2024-03-08,81.85714285714286,Extreme Greed
2024-03-15,82.57142857142857,Extreme Greed
2024-03-22,77.57142857142857,Greed
2024-03-29,77.85714285714286,Extreme Greed
2024-04-05,75.42857142857143,Extreme Greed
2024-04-12,77.42857142857143,Extreme Greed
2024-04-19,67.57142857142857,Greed
2024-04-26,70.85714285714286,Greed
2024-05-03,58.714285714285715,Neutral
2024-05-10,65.71428571428571,Greed
2024-05-17,62.857142857142854,Greed
2024-05-24,73.85714285714286,Greed
2024-05-31,73.57142857142857,Greed
2024-06-07,74.42857142857143,Extreme Greed
2024-06-14,72.71428571428571,Greed
2024-06-21,68.14285714285714,Greed
2024-06-28,46.0,Neutral
2024-07-05,43.42857142857143,Fear
2024-07-12,27.428571428571427,Extreme Fear
2024-07-19,52.142857142857146,Greed
2024-07-26,70.57142857142857,Greed
2024-08-02,64.85714285714286,Greed
2024-08-09,30.142857142857142,Neutral
2024-08-16,31.571428571428573,Fear
2024-08-23,30.428571428571427,Fear
2024-08-30,43.714285714285715,Fear
2024-09-06,26.428571428571427,Extreme Fear
2024-09-13,30.142857142857142,Fear
2024-09-20,45.857142857142854,Neutral
2024-09-27,54.285714285714285,Greed
2024-10-04,51.142857142857146,Fear
2024-10-11,45.42857142857143,Fear
2024-10-18,61.285714285714285,Greed
2024-10-25,71.28571428571429,Greed
2024-11-01,74.5,Greed
2024-11-08,72.57142857142857,Greed
2024-11-15,80.14285714285714,Extreme Greed
2024-11-22,86.85714285714286,Extreme Greed
2024-11-29,80.57142857142857,Extreme Greed
2024-12-06,79.28571428571429,Greed
2024-12-13,77.57142857142857,Extreme Greed
2024-12-20,80.42857142857143,Greed
2024-12-27,73.57142857142857,Greed
2025-01-03,68.5,Greed
